44.9599	40.0482	38.0059	
56.0401	60.9518	62.9941	
71.7207	49.2407	35.0414	
47.8807	42.0721	36.0178	
72.8	51.2168	41.0296	
85.5227	62.2884	38.071	
33.3188	54.7594	70.9526	
69.7204	44.2649	30.0415	
40.2384	48.8799	60.9645	
47.9202	41.0722	37.0118	
51.8821	60.9513	55.0177	
39.2793	61.7593	75.9586	
61.7605	41.2167	29.0355	
53.7619	48.0959	36.0355	
37.1588	41.928	49.9763	
47.2003	71.7591	81.9704	
0	0	0	
0	0	0	
117.682	102.192	86.0474	
94.7608	77.1925	65.0355	
73.8008	61.1443	51.0296	
54.8807	49.0721	43.0178	
44.9204	41.0481	37.0118	
42.9202	36.0722	32.0118	
